order;Clone;Pop
3559;BR-18GS-013-50;C1
3560;BR-18GS-013-51;C1
3561;BR-18GS-013-52;C1
3562;BR-18GS-013-53;C1
3563;BR-18GS-013-54;C1
3564;BR-18GS-013-55;C1
3565;BR-18GS-013-58;C1
3566;BR-18GS-013-63;C1
3567;BR-18GS-013-66;C1
3568;BR-18GS-013-68;C1
3569;BR-18GS-014-4;C1
3570;BR-18GS-015-6;C1
3571;BR-18GS-016-1;C1
3572;BR-18GS-016-2;C1
3573;BR-18GS-016-21;C1
3574;BR-18GS-016-5;C1
3575;BR-18GS-016-7;C1
3576;BR-18GS-024-14;C1
3577;BR-18GS-030-3;C1
3578;BR-18GS-030-4;C1
3579;BR-18GS-030-5;C1
3580;BR-18GS-031-1;C1
3581;BR-18GS-031-11;C1
3582;BR-18GS-031-15;C1
3583;BR-18GS-031-17;C1
3584;BR-18GS-031-18;C1
3585;BR-18GS-031-19;C1
3586;BR-18GS-031-21;C1
3587;BR-18GS-031-44;C1
3588;BR-18GS-031-6;C1
3589;BR-18GS-031-74;C1
3590;BR-18GS-031-76;C1
3591;BR-18GS-031-81;C1
3592;BR-18GS-032-1;C1
3593;BR-18GS-032-3;C1
3594;BR-18GS-039-10;C1
3595;BR-18GS-039-13;C1
3596;BR-18GS-039-6;C1
3597;BR-18GS-039-7;C1
3598;BR-18GS-039-9;C1
3599;BR-18GS-040-10;C1
3600;BR-18GS-040-13;C1
3601;BR-18GS-040-8;C1
3602;BR-18GS-044-48;C1
3603;BR-18GS-048-12;C1
3604;BR-18GS-048-21;C1
3605;BR-18GS-048-22;C1
3606;BR-18GS-048-25;C1
3607;BR-18GS-048-4;C1
3608;BR-18GS-048-41;C1
3609;BR-18GS-048-44;C1
3610;BR-18GS-048-47;C1
3611;BR-18GS-048-5;C1
3612;BR-18GS-048-63;C1
3613;BR-18GS-049-8;C1
3614;BR-18GS-054-1;C1
3615;BR-18GS-054-2;C1
3616;BR-18GS-056-1;C1
3617;BR-18GS-056-10;C1
3618;BR-18GS-056-11;C1
3619;BR-18GS-056-12;C1
3620;BR-18GS-056-13;C1
3621;BR-18GS-056-14;C1
3622;BR-18GS-056-15;C1
3623;BR-18GS-056-16;C1
3624;BR-18GS-056-17;C1
3625;BR-18GS-056-22;C1
3626;BR-18GS-056-24;C1
3627;BR-18GS-056-3;C1
3628;BR-18GS-056-33;C1
3629;BR-18GS-056-34;C1
3630;BR-18GS-056-35;C1
3631;BR-18GS-056-38;C1
3632;BR-18GS-056-39;C1
3633;BR-18GS-056-40;C1
3634;BR-18GS-056-42;C1
3635;BR-18GS-056-44;C1
3636;BR-18GS-056-47;C1
3637;BR-18GS-056-48;C1
3638;BR-18GS-056-49;C1
3639;BR-18GS-056-50;C1
3640;BR-18GS-056-51;C1
3641;BR-18GS-056-54;C1
3642;BR-18GS-056-6;C1
3643;BR-18GS-056-7;C1
3644;BR-18GS-056-8;C1
3645;BR-18GS-056-9;C1
3646;BR-18GS-057-15;C1
3647;BR-18GS-063-12;C1
3648;BR-18GS-063-13;C1
3649;BR-18GS-063-14;C1
3650;BR-18GS-063-15;C1
3651;BR-18GS-063-16;C1
3652;BR-18GS-063-17;C1
3653;BR-18GS-063-19;C1
3654;BR-18GS-063-21;C1
3655;BR-18GS-063-23;C1
3656;BR-18GS-063-29;C1
3657;BR-18GS-063-33;C1
3658;BR-18GS-063-34;C1
3659;BR-18GS-063-35;C1
3660;BR-18GS-063-36;C1
3661;BR-18GS-063-37;C1
3662;BR-18GS-063-38;C1
3663;BR-18GS-063-39;C1
3664;BR-18GS-063-41;C1
3665;BR-18GS-063-42;C1
3666;BR-18GS-063-43;C1
3667;BR-18GS-063-44;C1
3668;BR-18GS-063-48;C1
3669;BR-18GS-063-51;C1
3670;BR-18GS-063-58;C1
3671;BR-18GS-063-6;C1
3672;BR-18GS-063-61;C1
3673;BR-18GS-065-41;C1
3674;BR-18GS-065-42;C1
3675;BR-18GS-067-11;C1
3676;BR-18GS-067-20;C1
3677;BR-18GS-067-24;C1
3678;BR-18GS-067-26;C1
3679;BR-18GS-067-27;C1
3680;BR-18GS-067-30;C1
3681;BR-18GS-067-33;C1
3682;BR-18GS-067-6;C1
3683;BR-18GS-067-7;C1
3684;BR-18GS-068-22;C1
3685;BR-18GS-068-27;C1
3686;BR-18GS-068-45;C1
3687;BR-18GS-069-29;C1
3688;BR-18GS-070-13;C1
3689;BR-18GS-071-11;C1
3690;BR-18GS-071-8;C1
3691;BR-18GS-074-9;C1
3692;BR-18GS-075-7;C1
3693;BR-18GS-077-1;C1
3694;BR-18GS-080-9;C1
3695;BR-18GS-081-1;C1
3696;BR-18GS-082-11;C1
3697;BR-18GS-082-12;C1
3698;BR-18GS-082-13;C1
3699;BR-18GS-082-14;C1
3700;BR-18GS-082-15;C1
3701;BR-18GS-082-17;C1
3702;BR-18GS-082-19;C1
3703;BR-18GS-082-3;C1
3704;BR-18GS-082-4;C1
3705;BR-18GS-082-7;C1
3706;BR-18GS-082-8;C1
3707;BR-18GS-083-4;C1
3708;BR-18GS-083-6;C1
3709;BR-18GS-084-1;C1
3710;BR-18GS-084-10;C1
3711;BR-18GS-084-11;C1
3712;BR-18GS-084-14;C1
3713;BR-18GS-084-15;C1
3714;BR-18GS-084-17;C1
3715;BR-18GS-084-19;C1
3716;BR-18GS-084-2;C1
3717;BR-18GS-084-22;C1
3718;BR-18GS-084-31;C1
3719;BR-18GS-084-4;C1
3720;BR-18GS-086-1;C1
3721;BR-18GS-086-11;C1
3722;BR-18GS-086-15;C1
3723;BR-18GS-086-16;C1
3724;BR-18GS-086-3;C1
3725;BR-18GS-086-7;C1
3726;BR-18GS-086-8;C1
3727;BR-18GS-088-5;C1
3728;BR-18GS-088-8;C1
3729;BR-18GS-088-9;C1
3730;BR-18GS-090-4;C1
3731;BR-18GS-091-7;C1
3732;BR-18GS-093-23;C1
3733;BR-18GS-094-1;C1
3734;BR-18GS-094-12;C1
3735;BR-18GS-094-14;C1
3736;BR-18GS-094-16;C1
3737;BR-18GS-094-17;C1
3738;BR-18GS-094-18;C1
3739;BR-18GS-094-21;C1
3740;BR-18GS-094-25;C1
3741;BR-18GS-094-30;C1
3742;BR-18GS-094-31;C1
3743;BR-18GS-094-35;C1
3744;BR-18GS-094-4;C1
3745;BR-18GS-094-41;C1
3746;BR-18GS-094-43;C1
3747;BR-18GS-094-55;C1
3748;BR-18GS-094-56;C1
3749;BR-18GS-094-57;C1
3750;BR-18GS-094-60;C1
3751;BR-18GS-094-63;C1
3752;BR-18GS-094-64;C1
3753;BR-18GS-094-67;C1
3754;BR-18GS-094-68;C1
3755;BR-18GS-094-70;C1
3756;BR-18GS-094-72;C1
3757;BR-18GS-099-9;C1
3758;BR-18GS-100-11;C1
3759;BR-18GS-100-12;C1
3760;BR-18GS-100-21;C1
3761;BR-18GS-100-22;C1
3762;BR-18GS-100-23;C1
3763;BR-18GS-100-9;C1
3764;BR-18GS-101-1;C1
3765;BR-18GS-101-18;C1
3766;BR-18GS-101-22;C1
3767;BR-18GS-101-23;C1
3768;BR-18GS-101-24;C1
3769;BR-18GS-101-25;C1
3770;BR-18GS-101-28;C1
3771;BR-18GS-101-32;C1
3772;BR-18GS-101-37;C1
3773;BR-18GS-101-40;C1
3774;BR-18GS-101-41;C1
3775;BR-18GS-101-42;C1
3776;BR-18GS-101-43;C1
3777;BR-18GS-101-47;C1
3778;BR-18GS-101-8;C1
3779;BR-18GS-103-17;C1
3780;BR-18GS-103-23;C1
3781;BR-18GS-103-30;C1
3782;BR-18GS-103-34;C1
3783;BR-18GS-103-37;C1
3784;BR-18GS-106-15;C1
3785;BR-18GS-107-13;C1
3786;BR-18GS-107-8;C1
3787;BR-18GS-111-1;C1
3788;BR-18GS-111-100;C1
3789;BR-18GS-111-101;C1
3790;BR-18GS-111-105;C1
3791;BR-18GS-111-107;C1
3792;BR-18GS-111-109;C1
3793;BR-18GS-111-113;C1
3794;BR-18GS-111-114;C1
3795;BR-18GS-111-115;C1
3796;BR-18GS-111-116;C1
3797;BR-18GS-111-120;C1
3798;BR-18GS-111-121;C1
3799;BR-18GS-111-122;C1
3800;BR-18GS-111-124;C1
3801;BR-18GS-111-126;C1
3802;BR-18GS-111-129;C1
3803;BR-18GS-111-13;C1
3804;BR-18GS-111-131;C1
3805;BR-18GS-111-14;C1
3806;BR-18GS-111-15;C1
3807;BR-18GS-111-16;C1
3808;BR-18GS-111-17;C1
3809;BR-18GS-111-20;C1
3810;BR-18GS-111-23;C1
3811;BR-18GS-111-28;C1
3812;BR-18GS-111-3;C1
3813;BR-18GS-111-42;C1
3814;BR-18GS-111-45;C1
3815;BR-18GS-111-5;C1
3816;BR-18GS-111-50;C1
3817;BR-18GS-111-51;C1
3818;BR-18GS-111-52;C1
3819;BR-18GS-111-54;C1
3820;BR-18GS-111-57;C1
3821;BR-18GS-111-58;C1
3822;BR-18GS-111-6;C1
3823;BR-18GS-111-69;C1
3824;BR-18GS-111-7;C1
3825;BR-18GS-111-74;C1
3826;BR-18GS-111-78;C1
3827;BR-18GS-111-8;C1
3828;BR-18GS-111-91;C1
3829;BR-18GS-111-98;C1
3830;BR-18GS-113-11;C1
3831;BR-18GS-113-16;C1
3832;BR-18GS-113-18;C1
3833;BR-18GS-113-23;C1
3834;BR-18GS-113-3;C1
3835;BR-18GS-113-5;C1
3836;BR-18GS-113-6;C1
3837;BR-18GS-113-8;C1
3838;BR-18GS-113-9;C1
3839;BR-18GS-115-10;C1
3840;BR-18GS-115-12;C1
3841;BR-18GS-115-2;C1
3842;BR-18GS-115-3;C1
3843;BR-18GS-116-100;C1
3844;BR-18GS-116-105;C1
3845;BR-18GS-116-110;C1
3846;BR-18GS-116-112;C1
3847;BR-18GS-116-117;C1
3848;BR-18GS-116-121;C1
3849;BR-18GS-116-2;C1
3850;BR-18GS-116-20;C1
3851;BR-18GS-116-23;C1
3852;BR-18GS-116-26;C1
3853;BR-18GS-116-33;C1
3854;BR-18GS-116-34;C1
3855;BR-18GS-116-41;C1
3856;BR-18GS-116-43;C1
3857;BR-18GS-116-44;C1
3858;BR-18GS-116-49;C1
3859;BR-18GS-116-50;C1
3860;BR-18GS-116-62;C1
3861;BR-18GS-116-69;C1
3862;BR-18GS-116-76;C1
3863;BR-18GS-116-89;C1
3864;BR-18GS-116-9;C1
3865;BR-18GS-116-91;C1
3866;BR-18GS-116-99;C1
3867;BR-18GS-119-10;C1
3868;BR-18GS-119-18;C1
3869;BR-18GS-119-28;C1
3870;BR-18GS-119-41;C1
3871;BR-18GS-119-43;C1
3872;BR-18GS-119-49;C1
3873;BR-18GS-119-7;C1
3874;BR-18GS-122-19;C1
3875;BR-18GS-123-3;C1
3876;BR-18GS-124-105;C1
3877;BR-18GS-128-12;C1
3878;BR-18GS-128-15;C1
3879;BR-18GS-128-16;C1
3880;BR-18GS-128-24;C1
3881;BR-18GS-128-30;C1
3882;BR-18GS-131-10;C1
3883;BR-18GS-131-11;C1
3884;BR-18GS-131-14;C1
3885;BR-18GS-131-17;C1
3886;BR-18GS-131-18;C1
3887;BR-18GS-131-19;C1
3888;BR-18GS-131-6;C1
3889;BR-18GS-131-9;C1
3890;BR-18GS-134-1;C1
3891;BR-18GS-134-11;C1
3892;BR-18GS-134-12;C1
3893;BR-18GS-134-14;C1
3894;BR-18GS-134-15;C1
3895;BR-18GS-134-16;C1
3896;BR-18GS-134-17;C1
3897;BR-18GS-134-21;C1
3898;BR-18GS-134-22;C1
3899;BR-18GS-134-24;C1
3900;BR-18GS-134-26;C1
3901;BR-18GS-134-27;C1
3902;BR-18GS-134-29;C1
3903;BR-18GS-134-6;C1
3904;BR-18GS-134-8;C1
3905;BR-18GS-136-2;C1
3906;BR-18GS-001-1;C1
3907;BR-18GS-001-10;C1
3908;BR-18GS-001-14;C1
3909;BR-18GS-001-15;C1
3910;BR-18GS-001-18;C1
3911;BR-18GS-001-19;C1
3912;BR-18GS-001-2;C1
3913;BR-18GS-001-20;C1
3914;BR-18GS-001-21;C1
3915;BR-18GS-001-23;C1
3916;BR-18GS-001-24;C1
3917;BR-18GS-001-25;C1
3918;BR-18GS-001-26;C1
3919;BR-18GS-001-27;C1
3920;BR-18GS-001-28;C1
3921;BR-18GS-001-3;C1
3922;BR-18GS-001-30;C1
3923;BR-18GS-001-31;C1
3924;BR-18GS-001-32;C1
3925;BR-18GS-001-34;C1
3926;BR-18GS-001-38;C1
3927;BR-18GS-001-42;C1
3928;BR-18GS-001-5;C1
3929;BR-18GS-001-53;C1
3930;BR-18GS-001-55;C1
3931;BR-18GS-001-56;C1
3932;BR-18GS-001-9;C1
3933;BR-18GS-008-1;C1
3934;BR-18GS-008-19;C1
3935;BR-18GS-008-20;C1
3936;BR-18GS-008-22;C1
3937;BR-18GS-023-2;C1
3938;BR-18GS-032-29;C1
3939;BR-18GS-032-30;C1
3940;BR-18GS-032-37;C1
3941;BR-18GS-042-1;C1
3942;BR-18GS-042-18;C1
3943;BR-18GS-042-27;C1
3944;BR-18GS-042-28;C1
3945;BR-18GS-042-36;C1
3946;BR-18GS-042-46;C1
3947;BR-18GS-042-47;C1
3948;BR-18GS-042-6;C1
3949;BR-18GS-042-8;C1
3950;BR-18GS-052-13;C1
3951;BR-18GS-052-14;C1
3952;BR-18GS-052-16;C1
3953;BR-18GS-052-19;C1
3954;BR-18GS-052-29;C1
3955;BR-18GS-052-31;C1
3956;BR-18GS-052-38;C1
3957;BR-18GS-052-39;C1
3958;BR-18GS-052-40;C1
3959;BR-18GS-052-43;C1
3960;BR-18GS-052-5;C1
3961;BR-18GS-052-51;C1
3962;BR-18GS-052-53;C1
3963;BR-18GS-052-54;C1
3964;BR-18GS-052-60;C1
3965;BR-18GS-052-62;C1
3966;BR-18GS-052-65;C1
3967;BR-18GS-052-66;C1
3968;BR-18GS-052-67;C1
3969;BR-18GS-054-18;C1
3970;BR-18GS-054-22;C1
3971;BR-18GS-054-24;C1
3972;BR-18GS-054-25;C1
3973;BR-18GS-054-28;C1
3974;BR-18GS-054-30;C1
3975;BR-18GS-054-31;C1
3976;BR-18GS-054-32;C1
3977;BR-18GS-054-33;C1
3978;BR-18GS-054-34;C1
3979;BR-18GS-054-40;C1
3980;BR-18GS-054-41;C1
3981;BR-18GS-054-45;C1
3982;BR-18GS-054-47;C1
3983;BR-18GS-054-48;C1
3984;BR-18GS-054-50;C1
3985;BR-18GS-054-52;C1
3986;BR-18GS-054-54;C1
3987;BR-18GS-054-55;C1
3988;BR-18GS-055-28;C1
3989;BR-18GS-064-10;C1
3990;BR-18GS-064-12;C1
3991;BR-18GS-064-14;C1
3992;BR-18GS-064-18;C1
3993;BR-18GS-064-19;C1
3994;BR-18GS-064-2;C1
3995;BR-18GS-064-24;C1
3996;BR-18GS-076-1;C1
3997;BR-18GS-076-10;C1
3998;BR-18GS-076-11;C1
3999;BR-18GS-076-13;C1
4000;BR-18GS-076-14;C1
4001;BR-18GS-076-15;C1
4002;BR-18GS-076-16;C1
4003;BR-18GS-076-17;C1
4004;BR-18GS-076-2;C1
4005;BR-18GS-076-20;C1
4006;BR-18GS-076-22;C1
4007;BR-18GS-076-23;C1
4008;BR-18GS-076-24;C1
4009;BR-18GS-076-26;C1
4010;BR-18GS-076-27;C1
4011;BR-18GS-076-28;C1
4012;BR-18GS-076-29;C1
4013;BR-18GS-076-3;C1
4014;BR-18GS-076-30;C1
4015;BR-18GS-076-32;C1
4016;BR-18GS-076-33;C1
4017;BR-18GS-076-34;C1
4018;BR-18GS-076-36;C1
4019;BR-18GS-076-4;C1
4020;BR-18GS-076-5;C1
4021;BR-18GS-076-6;C1
4022;BR-18GS-076-8;C1
4023;BR-18GS-076-9;C1
4024;BR-18GS-085-11;C1
4025;BR-18GS-085-143;C1
4026;BR-18GS-085-17;C1
4027;BR-18GS-085-21;C1
4028;BR-18GS-085-83;C1
4029;BR-18GS-089-34;C1
4030;BR-18GS-089-44;C1
4031;BR-18GS-089-71;C1
4032;BR-18GS-089-72;C1
4033;BR-18GS-089-73;C1
4034;BR-18GS-089-8;C1
4035;BR-18GS-089-80;C1
4036;BR-18GS-099-28;C1
4037;BR-18GS-102-10;C1
4038;BR-18GS-102-16;C1
4039;BR-18GS-102-7;C1
4040;BR-18GS-109-10;C1
4041;BR-18GS-109-18;C1
4042;BR-18GS-109-20;C1
4043;BR-18GS-109-23;C1
4044;BR-18GS-109-3;C1
4045;BR-18GS-109-6;C1
4046;BR-18GS-129-30;C1
4047;BR-18GS-129-36;C1
4048;BR-18GS-129-48;C1
4049;BR-18GS-129-56;C1
4050;BR-18GS-129-58;C1
4051;BR-18GS-129-59;C1
4052;BR-18GS-129-66;C1
4053;BR-18GS-129-67;C1
4054;BR-18GS-131-20;C1
4055;BR-18GS-131-23;C1
1005;BR-19GS-004-2;C2
1006;BR-19GS-007-21;C2
1007;BR-19GS-005-1;C2
1008;BR-19GS-007-23;C2
1009;BR-19GS-005-2;C2
1010;BR-19GS-005-11;C2
1011;BR-19GS-007-41;C2
1012;BR-19GS-005-5;C2
1013;BR-19GS-005-14;C2
1014;BR-19GS-007-2;C2
1015;BR-19GS-007-18;C2
1016;BR-19GS-007-3;C2
1017;BR-19GS-007-43;C2
1018;BR-19GS-009-2;C2
1019;BR-19GS-015-10;C2
1020;BR-19GS-009-3;C2
1021;BR-19GS-009-4;C2
1022;BR-19GS-013-2;C2
1023;BR-19GS-013-10;C2
1024;BR-19GS-009-6;C2
1025;BR-19GS-010-6;C2
1026;BR-19GS-009-1;C2
1027;BR-19GS-009-9;C2
1028;BR-19GS-010-7;C2
1029;BR-19GS-011-8;C2
1030;BR-19GS-016-39;C2
1031;BR-19GS-016-8;C2
1032;BR-19GS-016-33;C2
1033;BR-19GS-017-8;C2
1034;BR-19GS-019-4;C2
1035;BR-19GS-016-35;C2
1036;BR-19GS-017-2;C2
1037;BR-19GS-018-1;C2
1038;BR-19GS-016-29;C2
1039;BR-19GS-019-6;C2
1040;BR-19GS-019-14;C2
1041;BR-19GS-020-9;C2
1042;BR-19GS-024-1;C2
1043;BR-19GS-024-9;C2
1044;BR-19GS-024-25;C2
1045;BR-19GS-024-33;C2
1046;BR-19GS-019-7;C2
1047;BR-19GS-023-7;C2
1048;BR-19GS-024-2;C2
1049;BR-19GS-024-10;C2
1050;BR-19GS-024-18;C2
1051;BR-19GS-024-26;C2
1052;BR-19GS-024-34;C2
1053;BR-19GS-019-16;C2
1054;BR-19GS-022-13;C2
1055;BR-19GS-023-8;C2
1056;BR-19GS-024-19;C2
1057;BR-19GS-024-35;C2
1058;BR-19GS-019-17;C2
1059;BR-19GS-022-6;C2
1060;BR-19GS-023-9;C2
1061;BR-19GS-024-4;C2
1062;BR-19GS-019-10;C2
1063;BR-19GS-024-13;C2
1064;BR-19GS-022-8;C2
1065;BR-19GS-023-11;C2
1066;BR-19GS-024-6;C2
1067;BR-19GS-024-30;C2
1068;BR-19GS-022-1;C2
1069;BR-19GS-023-4;C2
1070;BR-19GS-023-12;C2
1071;BR-19GS-024-23;C2
1072;BR-19GS-020-8;C2
1073;BR-19GS-023-13;C2
1074;BR-19GS-024-8;C2
1075;BR-19GS-024-24;C2
1076;BR-19GS-024-79;C2
1077;BR-19GS-024-56;C2
1078;BR-19GS-027-3;C2
1079;BR-19GS-024-41;C2
1080;BR-19GS-024-81;C2
1081;BR-19GS-028-5;C2
1082;BR-19GS-024-50;C2
1083;BR-19GS-024-74;C2
1084;BR-19GS-024-82;C2
1085;BR-19GS-024-43;C2
1086;BR-19GS-024-51;C2
1087;BR-19GS-024-75;C2
1088;BR-19GS-030-2;C2
1089;BR-19GS-024-52;C2
1090;BR-19GS-024-60;C2
1091;BR-19GS-024-76;C2
1092;BR-19GS-027-23;C2
1093;BR-19GS-030-3;C2
1094;BR-19GS-024-77;C2
1095;BR-19GS-028-2;C2
1096;BR-19GS-030-4;C2
1097;BR-19GS-030-36;C2
1098;BR-19GS-032-19;C2
1099;BR-19GS-033-1;C2
1100;BR-19GS-030-5;C2
1101;BR-19GS-030-13;C2
1102;BR-19GS-030-21;C2
1103;BR-19GS-030-29;C2
1104;BR-19GS-030-37;C2
1105;BR-19GS-033-2;C2
1106;BR-19GS-030-6;C2
1107;BR-19GS-030-15;C2
1108;BR-19GS-030-23;C2
1109;BR-19GS-030-39;C2
1110;BR-19GS-032-22;C2
1111;BR-19GS-033-4;C2
1112;BR-19GS-033-20;C2
1113;BR-19GS-030-24;C2
1114;BR-19GS-030-32;C2
1115;BR-19GS-030-9;C2
1116;BR-19GS-030-33;C2
1117;BR-19GS-033-14;C2
1118;BR-19GS-030-34;C2
1119;BR-19GS-032-26;C2
1120;BR-19GS-033-8;C2
1121;BR-19GS-036-4;C2
1122;BR-19GS-038-8;C2
1123;BR-19GS-038-16;C2
1124;BR-19GS-038-32;C2
1125;BR-19GS-033-24;C2
1126;BR-19GS-034-16;C2
1127;BR-19GS-036-13;C2
1128;BR-19GS-038-17;C2
1129;BR-19GS-038-25;C2
1130;BR-19GS-036-14;C2
1131;BR-19GS-038-10;C2
1132;BR-19GS-038-26;C2
1133;BR-19GS-038-34;C2
1134;BR-19GS-035-7;C2
1135;BR-19GS-036-7;C2
1136;BR-19GS-036-15;C2
1137;BR-19GS-038-11;C2
1138;BR-19GS-038-19;C2
1139;BR-19GS-038-27;C2
1140;BR-19GS-038-35;C2
1141;BR-19GS-038-43;C2
1142;BR-19GS-036-16;C2
1143;BR-19GS-038-4;C2
1144;BR-19GS-038-44;C2
1145;BR-19GS-034-12;C2
1146;BR-19GS-038-5;C2
1147;BR-19GS-038-37;C2
1148;BR-19GS-034-5;C2
1149;BR-19GS-034-21;C2
1150;BR-19GS-036-18;C2
1151;BR-19GS-038-14;C2
1152;BR-19GS-038-22;C2
1153;BR-19GS-038-38;C2
1154;BR-19GS-036-3;C2
1155;BR-19GS-038-7;C2
1156;BR-19GS-038-15;C2
1157;BR-19GS-038-61;C2
1158;BR-19GS-038-69;C2
1159;BR-19GS-038-86;C2
1160;BR-19GS-038-102;C2
1161;BR-19GS-038-111;C2
1162;BR-19GS-038-127;C2
1163;BR-19GS-038-79;C2
1164;BR-19GS-038-95;C2
1165;BR-19GS-038-103;C2
1166;BR-19GS-038-96;C2
1167;BR-19GS-038-104;C2
1168;BR-19GS-038-113;C2
1169;BR-19GS-038-57;C2
1170;BR-19GS-038-81;C2
1171;BR-19GS-038-130;C2
1172;BR-19GS-038-138;C2
1173;BR-19GS-038-50;C2
1174;BR-19GS-038-58;C2
1175;BR-19GS-038-74;C2
1176;BR-19GS-038-90;C2
1177;BR-19GS-038-106;C2
1178;BR-19GS-038-123;C2
1179;BR-19GS-038-131;C2
1180;BR-19GS-038-139;C2
1181;BR-19GS-038-51;C2
1182;BR-19GS-038-75;C2
1183;BR-19GS-038-83;C2
1184;BR-19GS-038-99;C2
1185;BR-19GS-038-124;C2
1186;BR-19GS-038-140;C2
1187;BR-19GS-038-76;C2
1188;BR-19GS-038-117;C2
1189;BR-19GS-038-125;C2
1190;BR-19GS-038-60;C2
1191;BR-19GS-038-77;C2
1192;BR-19GS-038-101;C2
1193;BR-19GS-038-126;C2
1194;BR-19GS-038-134;C2
1195;BR-19GS-038-158;C2
1196;BR-19GS-038-175;C2
1197;BR-19GS-038-207;C2
1198;BR-19GS-038-231;C2
1199;BR-19GS-038-142;C2
1200;BR-19GS-038-192;C2
1201;BR-19GS-038-200;C2
1202;BR-19GS-038-216;C2
1203;BR-19GS-038-151;C2
1204;BR-19GS-038-161;C2
1205;BR-19GS-038-234;C2
1206;BR-19GS-038-145;C2
1207;BR-19GS-038-179;C2
1208;BR-19GS-038-195;C2
1209;BR-19GS-038-211;C2
1210;BR-19GS-038-219;C2
1211;BR-19GS-038-227;C2
1212;BR-19GS-038-146;C2
1213;BR-19GS-038-163;C2
1214;BR-19GS-038-220;C2
1215;BR-19GS-038-228;C2
1216;BR-19GS-038-164;C2
1217;BR-19GS-038-173;C2
1218;BR-19GS-038-181;C2
1219;BR-19GS-038-221;C2
1220;BR-19GS-038-229;C2
1221;BR-19GS-038-148;C2
1222;BR-19GS-038-166;C2
1223;BR-19GS-038-206;C2
1224;BR-19GS-038-230;C2
1225;BR-19GS-038-237;C2
1226;BR-19GS-037-72;C2
1227;BR-19GS-037-57;C2
1228;BR-19GS-038-239;C2
1229;BR-19GS-037-34;C2
1230;BR-19GS-037-82;C2
1231;BR-19GS-037-12;C2
1232;BR-19GS-037-67;C2
1233;BR-19GS-037-75;C2
1234;BR-19GS-038-241;C2
1235;BR-19GS-037-53;C2
1236;BR-19GS-038-243;C2
1237;BR-19GS-037-15;C2
1238;BR-19GS-037-23;C2
1239;BR-19GS-037-70;C2
1240;BR-19GS-038-244;C2
1241;BR-19GS-037-24;C2
1242;BR-19GS-037-47;C2
1243;BR-19GS-037-71;C2
1244;BR-19GS-039-2;C2
1245;BR-19GS-042-5;C2
1246;BR-19GS-045-21;C2
1247;BR-19GS-045-45;C2
1248;BR-19GS-037-88;C2
1249;BR-19GS-042-6;C2
1250;BR-19GS-044-1;C2
1251;BR-19GS-045-7;C2
1252;BR-19GS-045-15;C2
1253;BR-19GS-040-10;C2
1254;BR-19GS-045-8;C2
1255;BR-19GS-045-23;C2
1256;BR-19GS-040-3;C2
1257;BR-19GS-041-8;C2
1258;BR-19GS-045-9;C2
1259;BR-19GS-045-17;C2
1260;BR-19GS-045-24;C2
1261;BR-19GS-040-4;C2
1262;BR-19GS-042-1;C2
1263;BR-19GS-043-1;C2
1264;BR-19GS-045-2;C2
1265;BR-19GS-045-10;C2
1266;BR-19GS-037-93;C2
1267;BR-19GS-045-3;C2
1268;BR-19GS-045-11;C2
1269;BR-19GS-045-34;C2
1270;BR-19GS-045-42;C2
1271;BR-19GS-040-6;C2
1272;BR-19GS-042-3;C2
1273;BR-19GS-045-35;C2
1274;BR-19GS-045-43;C2
1275;BR-19GS-046-36;C2
1276;BR-19GS-047-7;C2
1277;BR-19GS-048-17;C2
1278;BR-19GS-045-58;C2
1279;BR-19GS-046-29;C2
1280;BR-19GS-047-9;C2
1281;BR-19GS-048-18;C2
1282;BR-19GS-045-52;C2
1283;BR-19GS-045-59;C2
1284;BR-19GS-046-30;C2
1285;BR-19GS-047-1;C2
1286;BR-19GS-047-10;C2
1287;BR-19GS-048-19;C2
1288;BR-19GS-045-60;C2
1289;BR-19GS-046-31;C2
1290;BR-19GS-048-4;C2
1291;BR-19GS-045-61;C2
1292;BR-19GS-046-7;C2
1293;BR-19GS-046-32;C2
1294;BR-19GS-047-12;C2
1295;BR-19GS-048-13;C2
1296;BR-19GS-045-63;C2
1297;BR-19GS-045-72;C2
1298;BR-19GS-046-17;C2
1299;BR-19GS-046-33;C2
1300;BR-19GS-047-4;C2
1301;BR-19GS-048-6;C2
1302;BR-19GS-048-22;C2
1303;BR-19GS-045-64;C2
1304;BR-19GS-046-1;C2
1305;BR-19GS-046-9;C2
1306;BR-19GS-046-26;C2
1307;BR-19GS-047-5;C2
1308;BR-19GS-048-7;C2
1309;BR-19GS-045-65;C2
1310;BR-19GS-047-15;C2
1311;BR-19GS-048-8;C2
1312;BR-19GS-048-23;C2
1313;BR-19GS-049-6;C2
1314;BR-19GS-051-5;C2
1315;BR-19GS-051-25;C2
1316;BR-19GS-055-1;C2
1317;BR-19GS-055-9;C2
1318;BR-19GS-049-7;C2
1319;BR-19GS-052-1;C2
1320;BR-19GS-055-10;C2
1321;BR-19GS-055-18;C2
1322;BR-19GS-052-2;C2
1323;BR-19GS-050-9;C2
1324;BR-19GS-052-3;C2
1325;BR-19GS-053-5;C2
1326;BR-19GS-049-10;C2
1327;BR-19GS-050-2;C2
1328;BR-19GS-051-19;C2
1329;BR-19GS-053-6;C2
