Accession	Female_Parent	Male_Parent	Cross_Type
BR-18GS-054-45	BRS-Tapioqueira	BGM-0888	biparental
BR-18GS-054-47	BRS-Tapioqueira	BGM-0888	biparental
BR-18GS-054-48	BRS-Tapioqueira	BGM-0888	biparental
BR-18GS-054-50	BRS-Tapioqueira	BGM-0888	biparental
BR-18GS-054-52	BRS-Tapioqueira	BGM-0888	biparental
BR-18GS-054-54	BRS-Tapioqueira	BGM-0888	biparental
BR-18GS-054-55	BRS-Tapioqueira	BGM-0888	biparental
BR-18GS-055			
BR-18GS-055-28	BRS-Mulatinha	BGM-0946	biparental
BR-18GS-056			
BR-18GS-056-1	BGM-0888	BGM-0991	biparental
BR-18GS-056-10	BGM-0888	BGM-0991	biparental
BR-18GS-056-11	BGM-0888	BGM-0991	biparental
BR-18GS-056-12	BGM-0888	BGM-0991	biparental
BR-18GS-056-13	BGM-0888	BGM-0991	biparental
BR-18GS-056-14	BGM-0888	BGM-0991	biparental
BR-18GS-056-15	BGM-0888	BGM-0991	biparental
BR-18GS-056-16	BGM-0888	BGM-0991	biparental
BR-18GS-056-17	BGM-0888	BGM-0991	biparental
BR-18GS-056-22	BGM-0888	BGM-0991	biparental
BR-18GS-056-24	BGM-0888	BGM-0991	biparental
BR-18GS-056-3	BGM-0888	BGM-0991	biparental
BR-18GS-056-33	BGM-0888	BGM-0991	biparental
BR-18GS-056-34	BGM-0888	BGM-0991	biparental
BR-18GS-056-35	BGM-0888	BGM-0991	biparental
BR-18GS-056-38	BGM-0888	BGM-0991	biparental
BR-18GS-056-39	BGM-0888	BGM-0991	biparental
BR-18GS-056-40	BGM-0888	BGM-0991	biparental
BR-18GS-056-42	BGM-0888	BGM-0991	biparental
BR-18GS-056-44	BGM-0888	BGM-0991	biparental
BR-18GS-056-47	BGM-0888	BGM-0991	biparental
BR-18GS-056-48	BGM-0888	BGM-0991	biparental
BR-18GS-056-49	BGM-0888	BGM-0991	biparental
BR-18GS-056-50	BGM-0888	BGM-0991	biparental
BR-18GS-056-51	BGM-0888	BGM-0991	biparental
BR-18GS-056-54	BGM-0888	BGM-0991	biparental
BR-18GS-056-6	BGM-0888	BGM-0991	biparental
BR-18GS-056-7	BGM-0888	BGM-0991	biparental
BR-18GS-056-8	BGM-0888	BGM-0991	biparental
BR-18GS-056-9	BGM-0888	BGM-0991	biparental
BR-18GS-057			
BR-18GS-057-1	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-15	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-17	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-18	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-2	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-20	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-24	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-26	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-28	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-29	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-3	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-30	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-32	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-4	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-46	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-47	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-54	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-55	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-58	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-59	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-60	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-66	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-67	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-68	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-71	BRS-Jarina	BGM-0991	biparental
BR-18GS-057-73	BRS-Jarina	BGM-0991	biparental
BR-18GS-058			
BR-18GS-059			
BR-18GS-059-19	BRS-Mulatinha	BGM-1156	biparental
BR-18GS-060			
BR-18GS-061			
BR-18GS-062			
BR-18GS-063			
BR-18GS-063-12	BGM-0702	BGM-1160	biparental
BR-18GS-063-13	BGM-0702	BGM-1160	biparental
BR-18GS-063-14	BGM-0702	BGM-1160	biparental
BR-18GS-063-15	BGM-0702	BGM-1160	biparental
BR-18GS-063-16	BGM-0702	BGM-1160	biparental
BR-18GS-063-17	BGM-0702	BGM-1160	biparental
BR-18GS-063-19	BGM-0702	BGM-1160	biparental
BR-18GS-063-21	BGM-0702	BGM-1160	biparental
BR-18GS-063-23	BGM-0702	BGM-1160	biparental
BR-18GS-063-29	BGM-0702	BGM-1160	biparental
BR-18GS-063-33	BGM-0702	BGM-1160	biparental
BR-18GS-063-34	BGM-0702	BGM-1160	biparental
BR-18GS-063-35	BGM-0702	BGM-1160	biparental
BR-18GS-063-36	BGM-0702	BGM-1160	biparental
BR-18GS-063-37	BGM-0702	BGM-1160	biparental
BR-18GS-063-38	BGM-0702	BGM-1160	biparental
BR-18GS-063-39	BGM-0702	BGM-1160	biparental
BR-18GS-063-41	BGM-0702	BGM-1160	biparental
BR-18GS-063-42	BGM-0702	BGM-1160	biparental
BR-18GS-063-43	BGM-0702	BGM-1160	biparental
BR-18GS-063-44	BGM-0702	BGM-1160	biparental
BR-18GS-063-48	BGM-0702	BGM-1160	biparental
BR-18GS-063-51	BGM-0702	BGM-1160	biparental
BR-18GS-063-58	BGM-0702	BGM-1160	biparental
BR-18GS-063-6	BGM-0702	BGM-1160	biparental
BR-18GS-063-61	BGM-0702	BGM-1160	biparental
BR-18GS-064	BGM-2020	BGM-1174	biparental
BR-18GS-064-10	BRS-Mulatinha	BGM-1174	biparental
BR-18GS-064-12	BRS-Mulatinha	BGM-1174	biparental
BR-18GS-064-14	BRS-Mulatinha	BGM-1174	biparental
BR-18GS-064-18	BRS-Mulatinha	BGM-1174	biparental
BR-18GS-064-19	BRS-Mulatinha	BGM-1174	biparental
BR-18GS-064-2	BRS-Mulatinha	BGM-1174	biparental
BR-18GS-064-24	BRS-Mulatinha	BGM-1174	biparental
BR-18GS-065	BGM-0046	BGM-1253	biparental
BR-18GS-065-41	BGM-0046	BGM-1253	biparental
BR-18GS-065-42	BGM-0046	BGM-1253	biparental
BR-18GS-066			
BR-18GS-067			
BR-18GS-067-11	BGM-0816	BGM-1253	biparental
BR-18GS-067-20	BGM-0816	BGM-1253	biparental
BR-18GS-067-24	BGM-0816	BGM-1253	biparental
BR-18GS-067-26	BGM-0816	BGM-1253	biparental
BR-18GS-067-27	BGM-0816	BGM-1253	biparental
BR-18GS-067-30	BGM-0816	BGM-1253	biparental
BR-18GS-067-33	BGM-0816	BGM-1253	biparental
BR-18GS-067-6	BGM-0816	BGM-1253	biparental
BR-18GS-067-7	BGM-0816	BGM-1253	biparental
BR-18GS-068			
BR-18GS-068-20	BGM-0991	BGM-1253	biparental
BR-18GS-068-22	BGM-0991	BGM-1253	biparental
BR-18GS-068-27	BGM-0991	BGM-1253	biparental
BR-18GS-068-45	BGM-0991	BGM-1253	biparental
BR-18GS-069			
BR-18GS-069-29	BGM-1023	BGM-1253	biparental
BR-18GS-070			
BR-18GS-070-13	BGM-1024	BGM-1253	biparental
BR-18GS-071			
BR-18GS-071-11	BGM-1259	BGM-1253	biparental
BR-18GS-071-6	BGM-1259	BGM-1253	biparental
BR-18GS-071-8	BGM-1259	BGM-1253	biparental
BR-18GS-072			
BR-18GS-074			
BR-18GS-074-1	BGM-1659	BGM-1253	biparental
BR-18GS-074-9	BGM-1659	BGM-1253	biparental
BR-18GS-075			
BR-18GS-075-7	BGM-1716	BGM-1253	biparental
BR-18GS-076	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-1	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-10	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-11	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-13	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-14	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-15	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-16	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-17	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-2	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-20	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-22	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-23	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-24	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-26	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-27	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-28	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-29	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-3	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-30	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-32	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-33	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-34	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-36	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-4	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-5	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-6	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-8	BRS-Jarina	BGM-1253	biparental
BR-18GS-076-9	BRS-Jarina	BGM-1253	biparental
BR-18GS-077			
BR-18GS-077-1	BRS-Tapioqueira	BGM-1253	biparental
BR-18GS-078			
BR-18GS-079			
BR-18GS-080			
BR-18GS-080-1	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-10	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-11	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-13	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-19	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-2	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-21	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-22	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-24	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-26	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-5	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-080-9	BRS-Tapioqueira	BGM-1268	biparental
BR-18GS-081			
BR-18GS-081-1	BGM-0046	BGM-1332	biparental
BR-18GS-081-3	BGM-0046	BGM-1332	biparental
BR-18GS-082			
BR-18GS-082-11	BGM-0323	BGM-1332	biparental
BR-18GS-082-12	BGM-0323	BGM-1332	biparental
BR-18GS-082-13	BGM-0323	BGM-1332	biparental
BR-18GS-082-14	BGM-0323	BGM-1332	biparental
BR-18GS-082-15	BGM-0323	BGM-1332	biparental
BR-18GS-082-17	BGM-0323	BGM-1332	biparental
BR-18GS-082-18	BGM-0323	BGM-1332	biparental
BR-18GS-082-19	BGM-0323	BGM-1332	biparental
BR-18GS-082-3	BGM-0323	BGM-1332	biparental
BR-18GS-082-4	BGM-0323	BGM-1332	biparental
BR-18GS-082-7	BGM-0323	BGM-1332	biparental
BR-18GS-082-8	BGM-0323	BGM-1332	biparental
BR-18GS-083			
BR-18GS-083-4	BGM-1253	BGM-1332	biparental
BR-18GS-083-6	BGM-1253	BGM-1332	biparental
BR-18GS-084			
BR-18GS-084-1	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-10	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-11	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-14	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-15	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-17	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-19	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-2	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-22	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-27	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-31	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-34	BRS-Jarina	BGM-1332	biparental
BR-18GS-084-4	BRS-Jarina	BGM-1332	biparental
BR-18GS-085			
BR-18GS-085-11	BRS-Mulatinha	BGM-1332	biparental
BR-18GS-085-143	BRS-Mulatinha	BGM-1332	biparental
BR-18GS-085-17	BRS-Mulatinha	BGM-1332	biparental
BR-18GS-085-21	BRS-Mulatinha	BGM-1332	biparental
BR-18GS-085-43	BRS-Mulatinha	BGM-1332	biparental
BR-18GS-085-50	BRS-Mulatinha	BGM-1332	biparental
BR-18GS-085-83	BRS-Mulatinha	BGM-1332	biparental
BR-18GS-086	BGM-0323	BGM-1455	biparental
BR-18GS-086-1	BGM-0323	BGM-1455	biparental
BR-18GS-086-11	BGM-0323	BGM-1455	biparental
BR-18GS-086-15	BGM-0323	BGM-1455	biparental
BR-18GS-086-16	BGM-0323	BGM-1455	biparental
BR-18GS-086-3	BGM-0323	BGM-1455	biparental
BR-18GS-086-4	BGM-0323	BGM-1455	biparental
BR-18GS-086-7	BGM-0323	BGM-1455	biparental
BR-18GS-086-8	BGM-0323	BGM-1455	biparental
BR-18GS-088	BGM-0600	BGM-1455	biparental
BR-18GS-088-5	BGM-0600	BGM-1455	biparental
BR-18GS-088-8	BGM-0600	BGM-1455	biparental
BR-18GS-088-9	BGM-0600	BGM-1455	biparental
BR-18GS-089	BGM-2020	BGM-1487	biparental
BR-18GS-089-103	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-17	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-34	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-44	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-71	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-72	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-73	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-8	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-80	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-089-89	BRS-Mulatinha	BGM-1487	biparental
BR-18GS-090			
BR-18GS-090-4	BGM-0888	BGM-1583	biparental
BR-18GS-091			
BR-18GS-091-15	BGM-1638	BGM-1583	biparental
BR-18GS-091-7	BGM-1638	BGM-1583	biparental
BR-18GS-092			
BR-18GS-093			
BR-18GS-093-23	BRS-Mulatinha	BGM-1716	biparental
BR-18GS-094			
BR-18GS-094-1	BGM-1253	BGM-1760	biparental
BR-18GS-094-12	BGM-1253	BGM-1760	biparental
BR-18GS-094-13	BGM-1253	BGM-1760	biparental
BR-18GS-094-14	BGM-1253	BGM-1760	biparental
BR-18GS-094-16	BGM-1253	BGM-1760	biparental
BR-18GS-094-17	BGM-1253	BGM-1760	biparental
BR-18GS-094-18	BGM-1253	BGM-1760	biparental
BR-18GS-094-2	BGM-1253	BGM-1760	biparental
BR-18GS-094-21	BGM-1253	BGM-1760	biparental
BR-18GS-094-22	BGM-1253	BGM-1760	biparental
BR-18GS-094-25	BGM-1253	BGM-1760	biparental
BR-18GS-094-26	BGM-1253	BGM-1760	biparental
BR-18GS-094-30	BGM-1253	BGM-1760	biparental
BR-18GS-094-31	BGM-1253	BGM-1760	biparental
BR-18GS-094-32	BGM-1253	BGM-1760	biparental
BR-18GS-094-33	BGM-1253	BGM-1760	biparental
BR-18GS-094-34	BGM-1253	BGM-1760	biparental
BR-18GS-094-35	BGM-1253	BGM-1760	biparental
BR-18GS-094-4	BGM-1253	BGM-1760	biparental
BR-18GS-094-41	BGM-1253	BGM-1760	biparental
BR-18GS-094-42	BGM-1253	BGM-1760	biparental
BR-18GS-094-43	BGM-1253	BGM-1760	biparental
BR-18GS-094-44	BGM-1253	BGM-1760	biparental
BR-18GS-094-47	BGM-1253	BGM-1760	biparental
BR-18GS-094-48	BGM-1253	BGM-1760	biparental
BR-18GS-094-55	BGM-1253	BGM-1760	biparental
BR-18GS-094-56	BGM-1253	BGM-1760	biparental
BR-18GS-094-57	BGM-1253	BGM-1760	biparental
BR-18GS-094-60	BGM-1253	BGM-1760	biparental
BR-18GS-094-63	BGM-1253	BGM-1760	biparental
BR-18GS-094-64	BGM-1253	BGM-1760	biparental
BR-18GS-094-67	BGM-1253	BGM-1760	biparental
BR-18GS-094-68	BGM-1253	BGM-1760	biparental
BR-18GS-094-7	BGM-1253	BGM-1760	biparental
BR-18GS-094-70	BGM-1253	BGM-1760	biparental
BR-18GS-094-72	BGM-1253	BGM-1760	biparental
BR-18GS-094-8	BGM-1253	BGM-1760	biparental
BR-18GS-094-9	BGM-1253	BGM-1760	biparental
BR-18GS-095			
BR-18GS-097			
BR-18GS-098			
BR-18GS-099			
BR-18GS-099-19	BRS-Mulatinha	BGM-1784	biparental
BR-18GS-099-28	BRS-Mulatinha	BGM-1784	biparental
BR-18GS-099-9	BRS-Mulatinha	BGM-1784	biparental
BR-18GS-100	BGM-0128	BRS-Jarina	biparental
BR-18GS-100-11	BGM-0128	BRS-Jarina	biparental
BR-18GS-100-12	BGM-0128	BRS-Jarina	biparental
BR-18GS-100-14	BGM-0128	BRS-Jarina	biparental
BR-18GS-100-21	BGM-0128	BRS-Jarina	biparental
BR-18GS-100-22	BGM-0128	BRS-Jarina	biparental
BR-18GS-100-23	BGM-0128	BRS-Jarina	biparental
BR-18GS-100-9	BGM-0128	BRS-Jarina	biparental
BR-18GS-101	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-1	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-18	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-22	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-23	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-24	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-25	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-28	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-32	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-37	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-40	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-41	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-42	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-43	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-47	BGM-1253	BRS-Jarina	biparental
BR-18GS-101-8	BGM-1253	BRS-Jarina	biparental
BR-18GS-102	BRS-Mulatinha	BRS-Jarina	biparental
BR-18GS-102-1	BRS-Mulatinha	BRS-Jarina	biparental
BR-18GS-102-10	BRS-Mulatinha	BRS-Jarina	biparental
BR-18GS-102-16	BRS-Mulatinha	BRS-Jarina	biparental
BR-18GS-102-19	BRS-Mulatinha	BRS-Jarina	biparental
BR-18GS-102-7	BRS-Mulatinha	BRS-Jarina	biparental
BR-18GS-103	BGM-0046	BGM-2020	biparental
BR-18GS-103-17	BGM-0046	BRS-Mulatinha	biparental
BR-18GS-103-23	BGM-0046	BRS-Mulatinha	biparental
BR-18GS-103-29	BGM-0046	BGM-2020	biparental
BR-18GS-103-30	BGM-0046	BRS-Mulatinha	biparental
BR-18GS-103-34	BGM-0046	BRS-Mulatinha	biparental
BR-18GS-103-37	BGM-0046	BRS-Mulatinha	biparental
BR-18GS-105			
BR-18GS-106			
BR-18GS-106-15	BGM-1259	BRS-Mulatinha	biparental
BR-18GS-106-3	BGM-1259	BRS-Mulatinha	biparental
BR-18GS-107			
BR-18GS-107-1	BGM-1583	BRS-Mulatinha	biparental
BR-18GS-107-13	BGM-1583	BRS-Mulatinha	biparental
BR-18GS-107-8	BGM-1583	BRS-Mulatinha	biparental
BR-18GS-108			
BR-18GS-108-04	BGM-1693	BGM-2020	biparental
BR-18GS-109			
BR-18GS-109-10	BRS-Tapioqueira	BRS-Mulatinha	biparental
BR-18GS-109-18	BRS-Tapioqueira	BRS-Mulatinha	biparental
BR-18GS-109-20	BRS-Tapioqueira	BRS-Mulatinha	biparental
BR-18GS-109-23	BRS-Tapioqueira	BRS-Mulatinha	biparental
BR-18GS-109-3	BRS-Tapioqueira	BRS-Mulatinha	biparental
BR-18GS-109-6	BRS-Tapioqueira	BRS-Mulatinha	biparental
BR-18GS-110			
BR-18GS-111			
BR-18GS-111-1	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-100	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-101	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-102	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-105	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-107	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-109	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-110	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-111	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-113	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-114	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-115	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-116	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-117	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-118	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-120	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-121	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-122	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-124	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-125	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-126	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-129	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-13	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-130	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-131	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-135	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-138	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-14	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-15	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-16	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-17	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-20	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-21	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-22	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-23	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-25	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-26	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-27	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-28	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-29	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-3	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-30	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-32	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-33	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-34	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-37	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-39	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-42	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-43	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-45	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-46	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-47	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-49	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-5	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-50	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-51	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-52	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-54	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-55	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-56	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-57	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-58	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-59	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-6	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-64	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-65	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-68	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-69	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-7	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-73	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-74	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-75	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-78	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-8	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-80	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-83	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-84	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-87	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-88	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-89	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-90	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-91	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-92	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-96	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-97	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-98	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-111-99	BGM-0991	BRS-Tapioqueira	biparental
BR-18GS-112			
BR-18GS-113			
BR-18GS-113-1	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-11	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-12	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-13	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-16	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-18	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-19	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-23	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-25	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-3	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-4	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-5	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-6	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-8	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-113-9	BGM-2127	BRS-Tapioqueira	biparental
BR-18GS-114			
BR-18GS-115			
BR-18GS-115-10	BGM-0991	BGM-2167	biparental
BR-18GS-115-12	BGM-0991	BGM-2167	biparental
BR-18GS-115-2	BGM-0991	BGM-2167	biparental
BR-18GS-115-3	BGM-0991	BGM-2167	biparental
BR-18GS-116			
BR-18GS-116-100	BGM-1253	BGM-2167	biparental
BR-18GS-116-105	BGM-1253	BGM-2167	biparental
BR-18GS-116-110	BGM-1253	BGM-2167	biparental
BR-18GS-116-112	BGM-1253	BGM-2167	biparental
BR-18GS-116-114	BGM-1253	BGM-2167	biparental
