Accession	Female_Parent	Male_Parent	Cross_Type
BGM-2191			
BGM-2195			
BGM-2196			
BGM-2198			
BGM-2200			
BGM-2201			
BGM-2202			
BGM-2204			
BGM-2206			
BGM-2207			
BGM-2208			
BGM-2209			
BGM-2210			
BGM-2211			
BGM-2212			
BGM-2216			
BGM-2218			
BGM-2220			
BGM-2221			
BGM-2222			
BGM-2224			
BGM-2226			
BGM-2228			
BGM-2230			
BGM-2232			
BGM-2233			
BGM-2234			
BGM-2236			
BGM-2237			
BGM-2238			
BGM-2239			
BGM-2241			
BGM-2244			
BGM-2245			
BGM-2248			
BGM-2249			
BGM-2255			
BGM-2256			
BGM-2257			
BGM-2260			
BGM-2261			
BGM-2262			
BGM-2263			
BGM-2264			
BGM-2265			
BGM-2266			
BGM-2267			
BGM-2268			
BGM-2270			
BGM-2271			
BGM-2273			
BGM-2275			
BGM-2276			
BGM-2278			
BGM-2280			
BGM-2283			
BGM-2284			
BGM-2289			
BGM-2290			
BGM-2291			
BGM-2292			
BGM-2293			
BGM-2294			
BGM-2304			
BGM-2325			
BGM-2326			
BGM-2333			
BGM-2334			
BGM-2335			
BGM-2336			
BGM-2337			
BGM-2338			
BGM-2339			
BGM-2340			
BGM-2341			
BGM-2342			
BGM-2343			
BGM-2344			
BGM-2345			
BGM-2346			
BGM-2347			
BGM-2348			
BGM-2349			
BGM-2351			
BGM-2352			
BGM-2353			
BGM-2354			
BGM-2355			
BGM-2356			
BGM-2357			
BGM-2358			
BGM-45C8			
BR-11-03-01	BGM-2094	BRS-Formosa	biparental
BR-11-24-156	BGM-2107	Lagoa	biparental
BR-11-34-41	BRS-Kiriris	Irara	biparental
BR-11-34-45	BRS-Kiriris	Irara	biparental
BR-11-34-64	BRS-Kiriris	Irara	biparental
BR-11-34-69	BRS-Kiriris	Irara	biparental
BR-11-50-90			
BR-11S1-50-90	BRS-Formosa	BRS-Formosa	self
BR-11S1-52-01	BRS-Mulatinha	BRS-Mulatinha	self
BR-11S1-52-10	BRS-Mulatinha	BRS-Mulatinha	self
BR-11S1-52-19	BRS-Mulatinha	BRS-Mulatinha	self
BR-11S1-52-23	BRS-Mulatinha	BRS-Mulatinha	self
BR-11S1-52-25	BRS-Mulatinha	BRS-Mulatinha	self
BR-11S1-53-01	BGM-2107	BGM-2107	self
BR-11S1-53-05	BGM-2107	BGM-2107	self
BR-11S1-53-07	BGM-2107	BGM-2107	self
BR-11S1-53-10	BGM-2107	BGM-2107	self
BR-11S1-53-26	BGM-2107	BGM-2107	self
BR-12-107-002	BRS-Jari	BGM-2098	biparental
BR-12-107-004	BRS-Jari	BGM-2098	biparental
BR-14-001-24	BGM-2098	BGM-1332	biparental
BR-14-006-02	BGM-2098	BGM-1683	biparental
BR-14-006-32	BGM-2098	BGM-1683	biparental
BR-14-010-11	BGM-1163	ECU72	biparental
BR-14-011-07	BGM-1598	ECU72	biparental
BR-14-013-07	BGM-0728	ECU72	biparental
BR-14-018-39	BGM-2097	ECU72	biparental
BR-14-025-42	BGM-2098	BGM-1662	biparental
BR-14-026-06	BGM-2098	BGM-1683	biparental
BR-14S1-0728-42			
BR-14S1-Eucalipto-34	BGM-2097	BGM-2097	self
BR-17-002-09	BGM-1332	BGM-1163	biparental
BR-17-005-02	BGM-1586	BGM-0728	biparental
BR-17-005-13	BGM-1586	BGM-0728	biparental
BR-17-006-12	BGM-1662	BGM-0728	biparental
BR-17-006-19	BGM-1662	BGM-0728	biparental
BR-17-006-20	BGM-1662	BGM-0728	biparental
BR-17-006-29	BGM-1662	BGM-0728	biparental
BR-17-006-46	BGM-1662	BGM-0728	biparental
BR-17-006-49	BGM-1662	BGM-0728	biparental
BR-17-006-62	BGM-1662	BGM-0728	biparental
BR-17-006-69	BGM-1662	BGM-0728	biparental
BR-17-008-16	BGM-0728		open
BR-17-011-02	BGM-0994		open
BR-17-012-01	BGM-1133		open
BR-17-012-02	BGM-1133		open
BR-17-012-16	BGM-1133		open
BR-17-012-19	BGM-1133		open
BR-17-012-59	BGM-1133		open
BR-17-013-05	BGM-1335		open
BR-17-020-10	BRS-Kiriris		open
BR-17-021-04	BGM-2111		open
BR-17F1wx-001-01	7909	BGM-0131	biparental
BR-17F1wx-001-02	7909	BGM-0131	biparental
BR-17F1wx-001-03	7909	BGM-0131	biparental
BR-17F1wx-001-04	7909	BGM-0131	biparental
BR-17F1wx-001-05	7909	BGM-0131	biparental
BR-17F1wx-001-06	7909	BGM-0131	biparental
BR-17F1wx-001-07	7909	BGM-0131	biparental
BR-17F1wx-001-09	7909	BGM-0131	biparental
BR-17F1wx-001-10	7909	BGM-0131	biparental
BR-17F1wx-001-11			
BR-17F1wx-001-13	7909	BGM-0131	biparental
BR-17F1wx-001-14	7909	BGM-0131	biparental
BR-17F1wx-001-15	7909	BGM-0131	biparental
BR-17F1wx-001-16			
BR-17F1wx-001-18	7909	BGM-0131	biparental
BR-17F1wx-001-20	7909	BGM-0131	biparental
BR-17F1wx-001-36	7909	BGM-0131	biparental
BR-17F1wx-001-39	7909	BGM-0131	biparental
BR-17F1wx-001-43	7909	BGM-0131	biparental
BR-17F1wx-002-01	7909	BGM-0728	biparental
BR-17F1wx-002-02	7909	BGM-0728	biparental
BR-17F1wx-002-03	7909	BGM-0728	biparental
BR-17F1wx-002-04	7909	BGM-0728	biparental
BR-17F1wx-002-05	7909	BGM-0728	biparental
BR-17F1wx-002-06	7909	BGM-0728	biparental
BR-17F1wx-002-07	7909	BGM-0728	biparental
BR-17F1wx-002-08	7909	BGM-0728	biparental
BR-17F1wx-002-09	7909	BGM-0728	biparental
BR-17F1wx-002-10	7909	BGM-0728	biparental
BR-17F1wx-002-11	7909	BGM-0728	biparental
BR-17F1wx-002-12	7909	BGM-0728	biparental
BR-17F1wx-002-13	7909	BGM-0728	biparental
BR-17F1wx-002-14	7909	BGM-0728	biparental
BR-17F1wx-002-16	7909	BGM-0728	biparental
BR-17F1wx-002-17	7909	BGM-0728	biparental
BR-17F1wx-002-18	7909	BGM-0728	biparental
BR-17F1wx-002-19	7909	BGM-0728	biparental
BR-17F1wx-002-20	7909	BGM-0728	biparental
BR-17F1wx-002-22	7909	BGM-0728	biparental
BR-17F1wx-002-23	7909	BGM-0728	biparental
BR-17F1wx-002-24	7909	BGM-0728	biparental
BR-17F1wx-002-25	7909	BGM-0728	biparental
BR-17F1wx-002-26	7909	BGM-0728	biparental
BR-17F1wx-002-27	7909	BGM-0728	biparental
BR-17F1wx-002-28			
BR-17F1wx-002-30	7909	BGM-0728	biparental
BR-17F1wx-002-31	7909	BGM-0728	biparental
BR-17F1wx-002-32	7909	BGM-0728	biparental
BR-17F1wx-002-33			
BR-17F1wx-002-36			
BR-17F1wx-002-37	7909	BGM-0728	biparental
BR-17F1wx-002-39	7909	BGM-0728	biparental
BR-17F1wx-002-40	7909	BGM-0728	biparental
BR-17F1wx-002-43			
BR-17F1wx-002-44	7909	BGM-0728	biparental
BR-17F1wx-002-45			
BR-17F1wx-002-47			
BR-17F1wx-002-52	7909	BGM-0728	biparental
BR-17F1wx-002-67	7909	BGM-0728	biparental
BR-17F1wx-002-68	7909	BGM-0728	biparental
BR-17F1wx-002-72	7909	BGM-0728	biparental
