sireID,damID,Nsegsnps,predOf,Trait,predMean,predSD,predUsefulness
54,BR-21GS-C3-287-9,BR-19GS-063-59,3416,TGV,SELIND,38.0558267849418,6.06985236169898,54.262332590678
55,BR-18GS-001-3,Aipim-Preto-Joselito,3856,TGV,SELIND,36.3979713383958,6.66779513460416,54.2009843477889
56,BR-18GS-085-83,BGM-0049,4369,TGV,SELIND,35.5769179564153,6.97247330132452,54.1934216709518
57,BR-18GS-085-83,BR-18GS-059-48,3590,TGV,SELIND,34.2772102137549,7.45007669545251,54.1689149906131
58,BR-18GS-085-83,BR-21GS-C3-286-1,3728,TGV,SELIND,35.8350714554127,6.85648260567616,54.1418800125681
59,BR-18GS-001-3,BGM-2289,3336,TGV,SELIND,33.9644839946126,7.55484883298442,54.135930378681
60,BR-21GS-C3-287-9,BR-18GS-059-43,3273,TGV,SELIND,38.5173635692322,5.82559682895871,54.071707102552
61,BR-18GS-001-3,BR-18GS-099-32,3544,TGV,SELIND,35.7601744679047,6.85676293216659,54.0677314967895
62,BR-18GS-001-3,BR-18GS-085-144,3656,TGV,SELIND,35.629821624945,6.89821490678495,54.0480554260608
63,BR-18GS-085-83,BGM-1024,4300,TGV,SELIND,36.4740709555128,6.57330276774053,54.02478934538
64,BR-18GS-001-3,BR-21GS-C3-061-27,3492,TGV,SELIND,35.3111002910926,6.99178989538168,53.9791793117617
65,BR-18GS-001-3,BR-18GS-059-62,3223,TGV,SELIND,33.2282874670153,7.75637340285769,53.9378044526453
66,BR-21GS-C3-287-9,BR-19GS-030-39,3382,TGV,SELIND,37.295910792184,6.22703434222128,53.9220924859148
67,BR-18GS-085-83,BR-18GS-085-161,3448,TGV,SELIND,34.8002257659204,7.15464126203291,53.9031179355483
68,BR-18GS-085-83,BR-21GS-C3-130-4,3630,TGV,SELIND,35.9781999138069,6.70914888346809,53.8916274326667
69,BR-18GS-001-3,BR-18GS-059-73,3360,TGV,SELIND,35.1081598055053,7.03231642101706,53.8844446496209
70,BR-18GS-001-3,BR-18GS-001-23,3150,TGV,SELIND,32.5337904901916,7.99456887157875,53.8792893773069
71,BR-18GS-001-3,BR-18GS-001-1,3172,TGV,SELIND,33.7974046996276,7.51728662261809,53.8685599820179
72,BR-18GS-001-3,BR-21GS-C3-265-9,3357,TGV,SELIND,33.5678428109145,7.60083953671665,53.8620843739479
73,BR-18GS-001-3,BR-18GS-085-38,3675,TGV,SELIND,32.6531856965425,7.93543419749258,53.8407950038476
74,BR-18GS-001-3,BR-19GS-048-2,3658,TGV,SELIND,33.9556784055823,7.4470885616056,53.8394048650692
75,BR-18GS-001-3,BR-18GS-097-3,3825,TGV,SELIND,36.8746276845181,6.35142028898244,53.8329198561012
76,BR-18GS-001-3,BR-18GS-109-23,3479,TGV,SELIND,34.3551554751173,7.29420714117535,53.8306885420555
77,BR-21GS-C3-287-9,BR-18GS-098-1,3619,TGV,SELIND,37.5184647415953,6.10709162470966,53.8243993795701
78,BR-18GS-001-3,BGM-0018,4204,TGV,SELIND,34.7771999954769,7.1217284769564,53.7922150289505
79,BR-18GS-001-3,BR-18GS-085-3,3799,TGV,SELIND,33.4285673852612,7.62539670681819,53.7883765924658
80,BR-18GS-001-3,BR-21GS-C3-293-3,3607,TGV,SELIND,34.9072077579201,7.06795039075048,53.7786353012239
81,BR-18GS-001-3,BR-21GS-C3-133-1,3197,TGV,SELIND,35.3264955396992,6.90883938231749,53.7730966904869
82,BR-18GS-001-3,BR-21GS-C3-104-13,3350,TGV,SELIND,36.3601504759103,6.50336746460073,53.7241416063942
83,BR-18GS-001-3,BR-21GS-C3-104-33,3481,TGV,SELIND,35.4364291568501,6.83013376633284,53.6728863129588
84,BR-21GS-C3-287-9,BR-21GS-C3-069-3,3469,TGV,SELIND,37.2283572212286,6.13683383862922,53.6137035703686
85,BR-18GS-001-3,BR-21GS-C3-292-15,3277,TGV,SELIND,33.6943333839425,7.45899875932349,53.6098600713362
86,BR-18GS-001-3,BR-18GS-099-48,3425,TGV,SELIND,35.8516258646394,6.64627539596141,53.5971811718563
87,BR-18GS-085-83,BR-18GS-131-17,3527,TGV,SELIND,36.5053724591936,6.39671750850535,53.5846082069029
88,BR-21GS-C3-287-9,BR-19GS-113-8,3273,TGV,SELIND,37.74285837041,5.92625498606201,53.5659591831955
89,BR-18GS-001-3,BR-21GS-C3-056-2,3624,TGV,SELIND,36.463064023576,6.40554889933112,53.5658795847901
90,BR-18GS-085-83,BR-19GS-030-10,3790,TGV,SELIND,34.7509284909833,7.02926815265552,53.5190744585735
91,BR-18GS-001-3,BR-18GS-001-55,3168,TGV,SELIND,33.5357041821702,7.47710062953611,53.4995628630316
92,BR-18GS-085-83,BR-18GS-085-84,3387,TGV,SELIND,35.7848180927449,6.63087053596005,53.4892424237582
93,BR-18GS-001-3,BR-18GS-059-9,3214,TGV,SELIND,35.694734789631,6.66120144791584,53.4801426555663
94,BR-18GS-085-83,BR-19GS-030-38,3914,TGV,SELIND,35.5898305341029,6.70030851318514,53.4796542643072
95,BR-18GS-001-3,BGM-0144,3800,TGV,SELIND,35.1706684318306,6.85359695528184,53.4697723024331
96,BR-18GS-001-3,BR-21GS-C3-114-5,3232,TGV,SELIND,36.0265432627046,6.5211100450193,53.4379070829062
97,BR-18GS-001-3,BR-21GS-C3-175-75,3566,TGV,SELIND,34.1925455533623,7.20404553150406,53.4273471224781
98,BR-18GS-001-3,BR-18GS-001-14,3315,TGV,SELIND,35.3313190142206,6.77711540637115,53.4262171492315
99,BR-18GS-001-3,BR-18GS-085-53,3667,TGV,SELIND,35.4143966337815,6.73734295444913,53.4031023221607
100,BR-21GS-C3-287-9,BR-18GS-034-21,3815,TGV,SELIND,35.3253679636369,6.7700722863737,53.4014609682546
101,BR-18GS-085-83,BGM-0022-TB,3623,TGV,SELIND,36.5440174605122,6.31312937951221,53.4000729038098
102,BR-18GS-085-83,BR-18GS-109-10,3641,TGV,SELIND,32.8296396126547,7.69972523621465,53.3879059933478
103,BR-18GS-001-3,BR-18GS-034-29,3787,TGV,SELIND,32.8841295386526,7.6780960427852,53.3846459728891
104,BR-18GS-001-3,BR-21GS-C3-104-63,3451,TGV,SELIND,35.9143324405671,6.54234154463188,53.3823843647342
105,BR-19GS-063-59,BR-19GS-063-59,2011,TGV,SELIND,36.4227147839384,6.35052937306033,53.3786282100095
106,BR-18GS-085-83,BR-18GS-001-26,3791,TGV,SELIND,33.8923380572212,7.2927553625272,53.3639948751688
107,BR-18GS-001-3,BR-18GS-085-1,3397,TGV,SELIND,31.8525574507542,8.04782915551866,53.340261295989
108,BR-18GS-001-3,BR-21GS-C3-058-5,3299,TGV,SELIND,33.2992020366591,7.49825081756619,53.3195317195609
109,BR-18GS-085-83,Guaira-Falsa,3970,TGV,SELIND,34.9469806568921,6.87504841098757,53.3033599142289
110,BR-18GS-001-3,BR-21GS-C3-286-31,3426,TGV,SELIND,33.8008686322103,7.30274325998337,53.2991931363659
111,BR-21GS-C3-287-9,BR-18GS-059-29,3440,TGV,SELIND,35.6613347208278,6.60137439162308,53.2870043464614
112,BR-18GS-001-3,BR-18GS-059-69,3382,TGV,SELIND,33.1779973839369,7.52920816530307,53.2809831852961
113,BR-18GS-001-3,BR-18GS-084-34,3732,TGV,SELIND,34.2731532983958,7.11799331113427,53.2781954391244
114,BR-18GS-085-83,BR-19GS-030-15,3840,TGV,SELIND,33.5992125244704,7.36569734249495,53.265624428932
115,BR-18GS-001-3,BR-21GS-C3-106-5,3552,TGV,SELIND,36.174697127702,6.39660618077937,53.2536356303829
116,BR-18GS-001-3,BR-21GS-C3-057-29,3534,TGV,SELIND,34.8967884098588,6.87238368622923,53.2460528520908
117,BR-18GS-001-3,BR-18GS-034-18,3798,TGV,SELIND,32.5102807408535,7.76569297499191,53.2446809840819
118,BR-18GS-001-3,BR-21GS-C3-055-8,3415,TGV,SELIND,35.3890197913055,6.67572513720912,53.2132059076538
119,BR-18GS-085-83,BGM-0039,4380,TGV,SELIND,34.6861030271676,6.93638581124806,53.2062531431999
120,BR-18GS-001-3,BR-18GS-085-145,3528,TGV,SELIND,33.8268173864352,7.24740236833167,53.1773817098808
121,BR-18GS-085-83,Aipim-Preto-Joselito,3979,TGV,SELIND,35.3229843959798,6.66426543225621,53.1165731001039
122,BR-18GS-001-3,BGM-1489,4234,TGV,SELIND,34.9464852681918,6.80433152737921,53.1140504462943
123,BGM-0048,BGM-0048,2005,TGV,SELIND,32.1569458735527,7.84731062409057,53.1092652398745
124,BR-18GS-001-3,BR-21GS-C3-103-5,3623,TGV,SELIND,35.8043152801661,6.48011397061804,53.1062195817163
125,BR-18GS-085-83,BR-18GS-085-144,3357,TGV,SELIND,34.554834682529,6.94741526112982,53.1044334297456
126,BR-18GS-001-3,BR-21GS-C3-251-3,3634,TGV,SELIND,34.5103089285752,6.95982910310305,53.0930526338604
127,BR-18GS-001-3,BR-19GS-153-2,3644,TGV,SELIND,34.3348026612474,7.01900648329655,53.0755499716492
128,BR-18GS-085-83,BGM-2289,4034,TGV,SELIND,32.8894970521966,7.55505562012569,53.0614955579322
129,BR-18GS-001-3,BR-18GS-129-36,3789,TGV,SELIND,33.6919919298177,7.24947541028887,53.048091275289
130,BR-18GS-001-3,BR-18GS-052-6,3281,TGV,SELIND,34.836225934992,6.81532373377036,53.0331403041589
131,BR-18GS-085-83,BR-18GS-099-32,3686,TGV,SELIND,34.6851875254887,6.87140908084408,53.0318497713424
132,BR-21GS-C3-287-9,BGM-1156,3477,TGV,SELIND,34.9137252823515,6.78485056223037,53.0292762835066
133,BR-18GS-001-3,BR-18GS-001-31,3257,TGV,SELIND,32.9702896034767,7.50238880540045,53.0016677138959
134,BR-18GS-001-3,BR-21GS-C3-286-5,3399,TGV,SELIND,35.0542298585057,6.71031583829526,52.970773146754
135,BR-19GS-063-59,BGM-0048,3660,TGV,SELIND,34.2898303287455,6.99428058914688,52.9645595017677
136,BR-18GS-001-3,BR-21GS-C3-133-4,3181,TGV,SELIND,34.5402502510403,6.90019674543599,52.9637755613544
137,BR-18GS-001-3,BR-18GS-052-33,3560,TGV,SELIND,33.4747312423673,7.2927733197269,52.9464360060381
138,BR-18GS-001-3,BR-21GS-C3-201-1,3278,TGV,SELIND,34.3308379655634,6.96684861123601,52.9323237575635
139,BR-18GS-059-43,BGM-0048,3329,TGV,SELIND,34.751367113036,6.78817282534427,52.8757885567052
140,BR-21GS-C3-287-9,BR-18GS-109-17,3524,TGV,SELIND,36.221050025013,6.23521797384165,52.8690820151702
141,BR-21GS-C3-287-9,BGM-1527,4140,TGV,SELIND,37.5370810401599,5.74214498060125,52.8686081383653
142,BR-18GS-059-43,BR-18GS-059-43,1684,TGV,SELIND,37.3457883525193,5.81364024501798,52.8682078067173
143,BR-21GS-C3-287-9,BR-18GS-111-57,3801,TGV,SELIND,34.4474302279902,6.89914119309644,52.8681372135577
