sireID,damID,Nsegsnps,predOf,Trait,predMean,predSD,predUsefulness,type
50,BR-21GS-C3-287-9,BR-19GS-030-39,3382,BV,SELIND,44.7549271248024,6.64976267984307,62.5097934799834,FALSE
51,BR-18GS-085-83,BR-21GS-C3-103-5,3858,BV,SELIND,43.3829399678073,7.16102530210655,62.5028775244318,FALSE
52,BR-18GS-001-3,Guaira-Falsa,3819,BV,SELIND,42.2630536431132,7.57587663587654,62.4906442609036,FALSE
53,BR-18GS-001-3,BR-18GS-059-48,3409,BV,SELIND,40.2199828086489,8.32826967972147,62.4564628535053,FALSE
54,BR-18GS-085-83,BR-19GS-030-15,3840,BV,SELIND,40.7589343748678,8.11881720340462,62.4361763079581,FALSE
55,BR-18GS-001-3,Aipim-Preto-Joselito,3856,BV,SELIND,42.782609352771,7.34074271418034,62.3823923996325,FALSE
56,BR-18GS-085-83,BGM-2289,4034,BV,SELIND,40.2039940386409,8.30346325099067,62.3742409187859,FALSE
57,BR-18GS-085-83,BR-19GS-030-38,3914,BV,SELIND,42.7757301394129,7.3371421281087,62.3658996214631,FALSE
58,BR-18GS-085-83,BR-21GS-C3-056-2,3790,BV,SELIND,43.4654004156764,7.07553260937762,62.3570724827146,FALSE
59,BR-18GS-085-83,BR-21GS-C3-175-75,3872,BV,SELIND,41.2801567415899,7.88851410154095,62.3424893927043,FALSE
60,BR-21GS-C3-287-9,BGM-0048,3466,BV,SELIND,42.6262680722546,7.37583521947801,62.3197481082609,FALSE
61,BR-18GS-085-83,BR-21GS-C3-130-4,3630,BV,SELIND,42.2026035660365,7.51797987205372,62.27560982442,FALSE
62,BR-18GS-001-3,BGM-0039,4138,BV,SELIND,41.3072704368621,7.83833069183073,62.2356133840501,FALSE
63,BR-18GS-085-83,BR-18GS-001-26,3791,BV,SELIND,41.059340238843,7.92450479121881,62.2177680313972,FALSE
64,BR-18GS-001-3,BR-21GS-C3-103-5,3623,BV,SELIND,42.8535816472301,7.24836647134976,62.206720125734,FALSE
65,BR-18GS-085-83,BGM-1489,4332,BV,SELIND,42.2449625469969,7.47042585775816,62.1909995872112,FALSE
66,BR-18GS-085-83,BR-18GS-059-73,3505,BV,SELIND,41.4059977640745,7.78161051679787,62.1828978439248,FALSE
67,BR-18GS-085-83,BR-19GS-030-10,3790,BV,SELIND,41.407504404792,7.77791687032047,62.1745424485477,FALSE
68,BR-18GS-085-83,BR-21GS-C3-133-1,3793,BV,SELIND,42.191934312113,7.48404228326284,62.1743272084248,FALSE
69,BR-18GS-085-83,BGM-1024,4300,BV,SELIND,42.496662713424,7.35611894990004,62.1375003096571,FALSE
70,BR-18GS-001-3,BR-19GS-030-15,3626,BV,SELIND,40.2295760542906,8.19595790056757,62.112783648806,FALSE
71,BR-18GS-085-83,BR-18GS-131-17,3527,BV,SELIND,43.2456116422562,7.06012523997924,62.0961460330008,FALSE
72,BR-18GS-085-83,BGM-0018,4280,BV,SELIND,40.8896284152584,7.93158178381201,62.0669517780364,FALSE
73,BR-18GS-001-3,BR-19GS-030-38,3580,BV,SELIND,42.2463718188357,7.42241118058307,62.0642096709925,FALSE
74,BR-18GS-001-3,BR-21GS-C3-056-2,3624,BV,SELIND,42.9360420950992,7.163916165893,62.0636982580335,FALSE
75,BR-18GS-001-3,BGM-2289,3336,BV,SELIND,39.6746357180637,8.37890416976645,62.0463098513401,FALSE
76,BR-18GS-001-3,BR-21GS-C3-175-75,3566,BV,SELIND,40.7507984210128,7.96788477927407,62.0250507816745,FALSE
77,BR-18GS-001-3,BR-21GS-C3-130-4,3307,BV,SELIND,41.6732452454593,7.60122059160119,61.9685042250345,FALSE
78,BR-21GS-C3-287-9,BR-18GS-059-43,3273,BV,SELIND,45.4302851791189,6.19248458823782,61.9642190297139,FALSE
79,BR-21GS-C3-287-9,BR-18GS-111-57,3801,BV,SELIND,43.1349287343718,7.04468030083515,61.9442251376017,FALSE
80,BR-18GS-085-83,BR-18GS-085-84,3387,BV,SELIND,42.5687941595677,7.25504534692339,61.9397652358532,FALSE
81,BR-18GS-085-83,BR-21GS-C3-217-6,3850,BV,SELIND,41.5581711026525,7.62332191932433,61.9124406272485,FALSE
82,BR-18GS-085-83,BR-21GS-C3-265-9,3746,BV,SELIND,39.5620983615493,8.37045161856413,61.9112041831155,FALSE
83,BR-18GS-085-83,BR-18GS-085-161,3448,BV,SELIND,40.6291738053807,7.96899059917058,61.9063787051661,FALSE
84,BR-18GS-001-3,BR-18GS-001-26,3347,BV,SELIND,40.5299819182658,8.00351855821094,61.899376468689,FALSE
85,BR-18GS-001-3,BGM-1489,4234,BV,SELIND,41.7156042264197,7.55419060004702,61.8852931285452,FALSE
86,BR-18GS-085-83,BR-19GS-153-2,4003,BV,SELIND,41.2027104217879,7.74532267885126,61.8827219743207,FALSE
87,BR-18GS-001-3,BR-18GS-059-73,3360,BV,SELIND,40.8766394434973,7.86206050350137,61.868340987846,FALSE
88,BR-18GS-001-3,BR-21GS-C3-133-1,3197,BV,SELIND,41.6625759915358,7.56765630979917,61.8682183386996,FALSE
89,BR-18GS-001-3,BR-19GS-030-10,3487,BV,SELIND,40.8781460842148,7.85840467061813,61.8600865547652,FALSE
90,BR-18GS-085-83,BR-18GS-134-29,3939,BV,SELIND,42.6687008302845,7.18114332424681,61.8423535060235,FALSE
